business_failure_code_bq;region_name;period_scope;sector_name;business_failure_code;business_failure_description
DIREN_M_FR_DE_UL_DF_02_Y_KZ_TT;France;mois;Activités financières et d'assurance;DIREN.M.FR.DE.UL.DF.02.Y.KZ.TT;France - Nb de défaillances d'entreprises cumulé sur le mois - Activités financières et d'assurance - CVS/CJO
DIREN_M_FR_DE_UL_DF_02_Y_LZ_TT;France;mois;Activités immobilières;DIREN.M.FR.DE.UL.DF.02.Y.LZ.TT;France - Nb de défaillances d'entreprises cumulé sur le mois - Activités immobilières - CVS/CJO
DIREN_M_FR_DE_UL_DF_02_Y_MN_TT;France;mois;Soutien aux entreprises;DIREN.M.FR.DE.UL.DF.02.Y.MN.TT;France - Nb de défaillances d'entreprises cumulé sur le mois - Soutien aux entreprises - CVS/CJO
DIREN_M_FR_DE_UL_DF_02_Y_PS_TT;France;mois;Enseign., santé, act. soc. et services aux ménages;DIREN.M.FR.DE.UL.DF.02.Y.PS.TT;France - Nb de défaillances d'entreprises cumulé sur le mois - Enseign., santé, act. soc. et services aux ménages - CVS/CJO
DIREN_M_FR_DE_UL_DF_02_Y_ZZ_ME;France;mois;Tous secteurs;DIREN.M.FR.DE.UL.DF.02.Y.ZZ.ME;France - Nb de défaillances des ME cumulé sur le mois - Tous secteurs - CVS/CJO
DIREN_M_FR_DE_UL_DF_02_Y_ZZ_MI;France;mois;Tous secteurs;DIREN.M.FR.DE.UL.DF.02.Y.ZZ.MI;France - Nb de défaillances cumulé sur le mois des microentreprises et taille inconnue - Tous secteurs - CVS/CJO
DIREN_M_FR_DE_UL_DF_02_Y_ZZ_PE;France;mois;Tous secteurs;DIREN.M.FR.DE.UL.DF.02.Y.ZZ.PE;France - Nb de défaillances des PE cumulé sur le mois - Tous secteurs - CVS/CJO
DIREN_M_FR_DE_UL_DF_02_Y_ZZ_PM;France;mois;Tous secteurs;DIREN.M.FR.DE.UL.DF.02.Y.ZZ.PM;France - Nb de défaillances des PME cumulé sur le mois - Tous secteurs - CVS/CJO
DIREN_M_FR_DE_UL_DF_02_Y_ZZ_TP;France;mois;Tous secteurs;DIREN.M.FR.DE.UL.DF.02.Y.ZZ.TP;France - Nb de défaillances des TPE cumulé sur le mois - Tous secteurs - CVS/CJO
DIREN_M_FR_DE_UL_DF_02_Y_ZZ_TT;France;mois;Tous secteurs;DIREN.M.FR.DE.UL.DF.02.Y.ZZ.TT;France - Nb de défaillances d'entreprises cumulé sur le mois - Tous secteurs - CVS/CJO
DIREN_M_FR_DE_UL_DF_03_N_AZ_PM;France;12 mois;Agriculture, sylviculture et pêche;DIREN.M.FR.DE.UL.DF.03.N.AZ.PM;France - Nb de défaillances des PME cumulé sur 12 mois - Agriculture, sylviculture et pêche - Brut
DIREN_M_FR_DE_UL_DF_03_N_AZ_TT;France;12 mois;Agriculture, sylviculture et pêche;DIREN.M.FR.DE.UL.DF.03.N.AZ.TT;France - Nb de défaillances d'entreprises cumulé sur 12 mois - Agriculture, sylviculture et pêche - Brut
DIREN_M_FR_DE_UL_DF_03_N_BE_PM;France;12 mois;Industrie;DIREN.M.FR.DE.UL.DF.03.N.BE.PM;France - Nb de défaillances des PME cumulé sur 12 mois - Industrie - Brut
DIREN_M_FR_DE_UL_DF_03_N_BE_TT;France;12 mois;Industrie;DIREN.M.FR.DE.UL.DF.03.N.BE.TT;France - Nb de défaillances d'entreprises cumulé sur 12 mois - Industrie - Brut
DIREN_M_FR_DE_UL_DF_03_N_FZ_PM;France;12 mois;Construction;DIREN.M.FR.DE.UL.DF.03.N.FZ.PM;France - Nb de défaillances des PME cumulé sur 12 mois - Construction - Brut
DIREN_M_FR_DE_UL_DF_03_N_FZ_TT;France;12 mois;Construction;DIREN.M.FR.DE.UL.DF.03.N.FZ.TT;France - Nb de défaillances d'entreprises cumulé sur 12 mois - Construction - Brut
DIREN_M_FR_DE_UL_DF_03_N_G_PM;France;12 mois;Commerce et réparation automobile;DIREN.M.FR.DE.UL.DF.03.N.G.PM;France - Nb de défaillances des PME cumulé sur 12 mois - Commerce et réparation automobile - Brut
DIREN_M_FR_DE_UL_DF_03_N_G_TT;France;12 mois;Commerce et réparation automobile;DIREN.M.FR.DE.UL.DF.03.N.G.TT;France - Nb de défaillances d'entreprises cumulé sur 12 mois - Commerce et réparation automobile - Brut
DIREN_M_FR_DE_UL_DF_03_N_H_PM;France;12 mois;Transports et entreposage;DIREN.M.FR.DE.UL.DF.03.N.H.PM;France - Nb de défaillances des PME cumulé sur 12 mois - Transports et entreposage - Brut
DIREN_M_FR_DE_UL_DF_03_N_H_TT;France;12 mois;Transports et entreposage;DIREN.M.FR.DE.UL.DF.03.N.H.TT;France - Nb de défaillances d'entreprises cumulé sur 12 mois - Transports et entreposage - Brut
DIREN_M_FR_DE_UL_DF_03_N_I_PM;France;12 mois;Hébergement et restauration;DIREN.M.FR.DE.UL.DF.03.N.I.PM;France - Nb de défaillances des PME cumulé sur 12 mois - Hébergement et restauration - Brut
DIREN_M_FR_DE_UL_DF_03_N_I_TT;France;12 mois;Hébergement et restauration;DIREN.M.FR.DE.UL.DF.03.N.I.TT;France - Nb de défaillances d'entreprises cumulé sur 12 mois - Hébergement et restauration - Brut
DIREN_M_FR_DE_UL_DF_03_N_JZ_PM;France;12 mois;Information et communication;DIREN.M.FR.DE.UL.DF.03.N.JZ.PM;France - Nb de défaillances des PME cumulé sur 12 mois - Information et communication - Brut
DIREN_M_FR_DE_UL_DF_03_N_JZ_TT;France;12 mois;Information et communication;DIREN.M.FR.DE.UL.DF.03.N.JZ.TT;France - Nb de défaillances d'entreprises cumulé sur 12 mois - Information et communication - Brut
DIREN_M_FR_DE_UL_DF_03_N_KZ_TT;France;12 mois;Activités financières et d'assurance;DIREN.M.FR.DE.UL.DF.03.N.KZ.TT;France - Nb de défaillances d'entreprises cumulé sur 12 mois - Activités financières et d'assurance - Brut
DIREN_M_FR_DE_UL_DF_03_N_LZ_TT;France;12 mois;Activités immobilières;DIREN.M.FR.DE.UL.DF.03.N.LZ.TT;France - Nb de défaillances d'entreprises cumulé sur 12 mois - Activités immobilières - Brut
DIREN_M_FR_DE_UL_DF_03_N_MN_PM;France;12 mois;Soutien aux entreprises;DIREN.M.FR.DE.UL.DF.03.N.MN.PM;France - Nb de défaillances des PME cumulé sur 12 mois - Soutien aux entreprises - Brut
DIREN_M_FR_DE_UL_DF_03_N_MN_TT;France;12 mois;Soutien aux entreprises;DIREN.M.FR.DE.UL.DF.03.N.MN.TT;France - Nb de défaillances d'entreprises cumulé sur 12 mois - Soutien aux entreprises - Brut
DIREN_M_FR_DE_UL_DF_03_N_PS_PM;France;12 mois;Enseign., santé, act. soc. et services aux ménages;DIREN.M.FR.DE.UL.DF.03.N.PS.PM;France - Nb de défaillances des PME cumulé sur 12 mois - Enseign., santé, act. soc. et services aux ménages - Brut
DIREN_M_FR_DE_UL_DF_03_N_PS_TT;France;12 mois;Enseign., santé, act. soc. et services aux ménages;DIREN.M.FR.DE.UL.DF.03.N.PS.TT;France - Nb de défaillances d'entreprises cumulé sur 12 mois - Enseign., santé, act. soc. et services aux ménages - Brut
DIREN_M_FR_DE_UL_DF_03_N_ZZ_IG;France;12 mois;Tous secteurs;DIREN.M.FR.DE.UL.DF.03.N.ZZ.IG;France - Nb de défaillances des ETI et GE cumulé sur 12 mois - Tous secteurs - Brut
DIREN_M_FR_DE_UL_DF_03_N_ZZ_ME;France;12 mois;Tous secteurs;DIREN.M.FR.DE.UL.DF.03.N.ZZ.ME;France - Nb de défaillances des ME cumulé sur 12 mois - Tous secteurs - Brut
DIREN_M_FR_DE_UL_DF_03_N_ZZ_MI;France;12 mois;Tous secteurs;DIREN.M.FR.DE.UL.DF.03.N.ZZ.MI;France - Nb de défaillances cumulé sur 12 mois des microentreprises et taille inconnue - Tous secteurs - Brut
DIREN_M_FR_DE_UL_DF_03_N_ZZ_PE;France;12 mois;Tous secteurs;DIREN.M.FR.DE.UL.DF.03.N.ZZ.PE;France - Nb de défaillances des PE cumulé sur 12 mois - Tous secteurs - Brut
DIREN_M_FR_DE_UL_DF_03_N_ZZ_PM;France;12 mois;Tous secteurs;DIREN.M.FR.DE.UL.DF.03.N.ZZ.PM;France - Nb de défaillances des PME cumulé sur 12 mois - Tous secteurs - Brut
